"id","name","year","rank"
323287,Tajemnica Wielkiego Krzysztofa,1975,
323288,Tajemnice puszczy,1991,
323289,Tajemnice wiklinowej zatoki,1990,
323290,Tajemstv,1995,
323291,Tajemstv cvrcku,2001,
323292,Tajemstv dblovy kapsy,1981,
323293,Tajemstv hradu v Karpatech,1981,8.7
323294,Tajemstv krve,1953,
323295,Tajemstv lkarovo,1930,
323296,Tajemstv ocelovho mesta,1979,7.5
323297,Tajemstv podzemn sachty Richard,1991,
323298,Tajemstv velikeho vypravece,1971,
323299,Tajemstv zlatho Buddhy,1973,
323300,Tajimara,1965,
323301,Tajin,1992,
323302,Tajna chyornykh drozdov,1983,7.3
323303,Tajna dvorca I.B.,1951,
323304,Tajna historia Mongolw,1973,
323305,Tajna korolevy Anny ili mushketyory 30 let spustya,1993,6.1
323306,Tajna Laze Lazarevica,1986,
323307,Tajna manastirske rakije,1988,4.6
323308,Tajna Marchello,1997,
323309,Tajna moje majke,2000,
323310,Tajna Nikole Tesle,1980,6.7
323311,Tajna porodicnog blaga,2000,6.6
323312,Tajna snezhnoj korolevy,1986,
323313,Tajna starog mlina,1991,
323314,Tajna starog tavana,1984,
323315,Tajna tretyej planety,1981,8.8
323316,Tajna vecera,1969,
323317,Tajna vechnoj nochi,1956,
323318,Tajna villy,1992,
323319,Tajna villy Greta,1984,
323320,Tajna zapisnoj knizhki,1981,
323321,Tajna zemli,1985,
323322,Tajna zheleznoj dveri,1970,
323323,Tajna zolotogo bregeta,1988,
323324,Tajna zolotoj gory,1985,
323325,Tajnata kniga,2004,
323326,Tajnaya progulka,1985,
323327,Tajne tasmy SB,2002,
323328,Tajnik u krasnykh kamnej,1972,
323329,Tajnoe golosovaniye,1980,
323330,Tajnoye puteshestviye emira,1986,
323331,Tajny dvortsovykh perevorotov,2001,
323332,Tajny madam Vong,1986,2.6
323333,Tajny svyatogo Yura,1982,
323334,Tajnyj posol,1986,
323335,Tajn rec tela,1997,
323336,Tajo na nyueki,1967,
323337,"Tajo, El",1993,
323338,Tajomstvo alchymistu Storitza,1991,
323339,Tajul ashikin,1963,
323340,Tajurba,1981,
323341,Tajvanska kanasta,1985,8.9
323342,Tak,1999,
323343,Tak and the Power of Juju,2003,
323344,Tak for Alt: Survival of a Human Spirit,1999,9.2
323345,Tak for sidst,1950,
323346,"Tak fordi du kom, Nick",1941,
323347,Tak kisahlah beb,1989,
323348,Tak lska zacn...,1975,
323349,Tak nachinalas legenda,1976,
323350,Tak zhit nelzya,1990,7.9
323351,"Tak, tak",1992,
323352,Taka historia,1999,
323353,Taka piekna niedziela,1997,
323354,Taka to okami,1968,
323355,Takaisin Eurooppaan,1997,
323356,Takaisin luontoon,2001,
323357,Takamaru Kikumaru,1959,
323358,Takapihan sankarit,1992,
323359,Takara no yama,1929,
323360,Takaraduka shojo kageki nijugo shunen wo kataru,1939,
323361,Takarajima ensei,1956,
323362,Takarazuka shojo kageki grand review: Goshiki no Waltz,1938,
323363,Takaw tukso,1986,
323364,Takaw tukso,1998,
323365,Takay Ki Na Hay,1931,
323366,"Takaya pozdnyaya, takaya tyoplaya osen",1981,
323367,Takaya zhestokaya igra - hokkej,1983,
323368,Takbo Vilma dali,1972,
323369,Take 2,1999,
323371,Take 6: All Access,1992,
323372,Take a Chance,1918,
323373,Take a Chance,1933,
323374,Take a Chance,1937,
323375,Take a Giant Step,1959,5.3
323376,Take a Girl Like You,1970,4.2
323377,Take a Girl Like You,2001,
323378,Take a Hard Ride,1975,5.4
323379,Take a Jill Pill,2004,
323380,"Take a Letter, Darling",1942,6.4
323381,Take a Letter... From A to Z,1967,
323382,Take a Number,1997,5.9
323383,Take a Peak,1995,
323384,Take a Powder,1953,
323385,Take an Easy Ride,1976,
323386,Take Away,2002,
323387,Take Away,2003,5.3
323388,Take Back Your Wife,1917,
323389,Take Care of My Little Girl,1951,5.9
323390,Take Down,1979,5.4
323391,Take Five,1987,
323392,Take for a Ride,1931,
323393,Take Heed Mr. Tojo,1943,
323394,Take Her by Surprise,1967,
323395,"Take Her, She's Mine",1963,5.6
323396,Take in the Sun,1927,
323398,Take It Big,1944,
323399,Take It Easy,1986,3.7
323400,Take It Easy,1999,8.1
323401,Take It From Me,1926,
323402,Take It from Me,1937,
323403,Take It From Me,2002,
323404,Take It from the Top,1966,
323405,Take It Inside,1995,
323407,Take It or Leave It,1944,
323408,Take It or Leave It,1981,8.6
323409,Take It Out in Trade,1970,2.3
323410,Take It Out In Trade: The Outtakes,1995,
323411,Take It to the Limit,1980,
323412,Take It to the Limit,1990,
323413,Take It to the Limit,2000,2.8
323414,Take Joy! The Magical World of Tasha Tudor,1996,
323415,Take Me,1968,
323418,Take Me 8,1995,
323419,Take Me Back to My Boots and Saddle,1941,
323420,Take Me Back to Oklahoma,1940,
323421,Take Me Back to Tulsa,1944,
323422,Take Me Down,1986,
323423,Take Me High,1973,3.8
323424,Take Me Home,1928,
323425,Take Me Home,1989,
323426,Take Me Home,1992,
323427,Take Me Home Again,1994,
323428,Take Me Home: The John Denver Story,2000,
323429,Take Me Like Wow,1974,
323431,Take Me Out to the Ball Game,1910,
323432,Take Me Out to the Ball Game,1949,6.8
323433,Take Me Over,1963,
323434,Take Me to Paris,1951,
323435,Take Me to Town,1953,6.3
323436,Take Me to Your Gen'rul,1962,
323437,Take Me to Your Leader,2003,
323438,Take Me Up to the Ball Game,1980,
323440,Take My Advice: The Ann and Abby Story,1999,
323441,Take My Body,1989,
323442,Take My Breath Away,1993,
323443,"Take My Daughters, Please",1988,
323445,Take My Life,1942,
323446,Take My Life,1947,6.4
323447,Take My Life... Please,2000,
323448,Take My Tip,1937,
323450,Take Next Car,1922,
323452,Take Off (1997/I),1997,
323453,Take Off That Hat,1938,
323454,Take Off Your Clothes and Live,1963,
323456,Take One,1996,
323457,Take One False Step,1949,6.4
323459,Take Out,2004,7.7
323460,Take Out,2005,
323461,Take Out the Beast,1995,
323462,Take Peace! A Corgi Cottage Christmas with Tasha Tudor,1998,
323463,Take Pity,1996,
323465,Take That: Hometown - Live at Manchester G-Mex,1995,
323466,Take That: Live in Berlin,1994,
323467,Take That: Nobody Else - The Movie,1995,
323469,Take the 'A' Train,1990,
323470,Take the 5:10 to Dreamland,1976,6.9
323472,Take the A Train,2002,
323473,Take the Heir,1930,
323474,Take the High Ground!,1953,6.4
323475,Take the Money and Run,1969,7.3
323476,Take the Stand,1934,
323477,Take This Heart,1997,
323478,Take This Job and Shove It,1981,4.5
323480,Take Three Girls,1990,
323481,Take Three Violent Chefs,1995,
323482,Take Three Women,1982,
323484,Take Two,1988,3.3
323485,Take Two Eggs,1939,
323486,Take Your Bags,1998,
323487,Take Your Best Shot,1982,
323488,Take Your Choice,1923,
323489,Take Your Medicine,1930,
323490,Take Your Pick,1929,
323491,"Take, The",1974,5.2
323492,"Take, The",1990,
323493,"Take, The",2004,
323494,Take-chan shacho,1954,
323495,Take-chan shacho: Seishun de tsukkare!,1967,
323496,Take-chan shacho: Seishun wa ryu no mono da!,1967,
323497,Take-out,2000,7.0
323498,Takedown,1995,6.2
323499,Takedown,2000,6.2
323500,Takekurabe,1955,
323501,Taken,1999,5.4
323503,Taken (2002/II),2002,
323504,Taken,2003,
323505,Taken Alive,1995,2.2
323506,Taken Away,1989,
323507,Taken Away,2002,2.9
323508,Taken by Storm,1914,
323509,Taken for a Ride,1996,9.4
323510,Taken for Granite,1995,
323511,Taken for Granted,1964,
323512,"Taken From Trolley in Gorge, Niagara Falls",1896,
323513,"Taken from Trolley, Atlantic City",1896,
