"actor_id","movie_id","role"
825167,257870,Librarian
825167,266127,Zena
825167,271379,""
825167,272044,Apotekarka
825167,296047,Ljudmila
825167,304551,Baksova druga zena
825167,305188,Zena u kafani
825167,324446,Medicinska sestra
825167,328705,""
825167,338863,Prostitutka
825167,339307,Kelnerica
825167,357318,Stanija
825167,375126,Violeta... striptizeta
825167,379426,""
825167,379616,""
825167,381182,""
825167,382430,Karolina
825167,390388,"Tereza, starija kucna pomocni"
825167,401750,""
825167,401927,Ljilja... komsinica
825167,401928,Ljilja ... komsinica
825167,406315,""
825167,407668,""
825167,410429,Stanija
825168,261944,""
825169,273105,""
825170,412180,""
825171,24603,Ernestina
825171,28961,""
825172,53615,""
825172,53986,""
825173,58234,Vera
825173,83359,""
825173,112890,""
825173,217706,Cristal
825173,235856,Sylvie
825173,240058,""
825173,276105,Corinne
825173,391621,Herself
825173,393330,Janique Aimée
825173,412264,Cécile Dabries
825174,166069,Claxton's Mother
825175,266871,""
825176,248769,""
825177,99794,Farmacéutica
825177,100367,Ginecóloga
825177,100405,Joana
825177,103385,Maquilladora
825177,218589,""
825177,263763,Rosa
825177,386093,Ramona
825177,395041,Mònica Monjo
825177,403745,""
825177,403746,""
825178,309414,""
825179,39158,Toni
825180,213742,Natacha
825180,380152,""
825180,380332,Bárbara
825180,393714,Inês (1st Season)
825181,223613,""
825182,318260,Periodista 3
825183,51220,""
825184,67349,""
825185,189554,""
825185,189555,""
825186,171461,Laura
825186,204276,""
825187,179366,Naisvampyyri 1
825188,202791,Shantabai
825189,155551,Grandmother
825190,302989,Marja
825190,320400,Eriika Saari
825191,304478,Directora chillout
825191,307471,""
825192,84085,Adolescente 1
825193,24852,Marianne
825193,332218,Macha
825193,332227,Isabelle
825193,389271,Annie Delanauze
825193,389880,Adrienne Vernet
825193,409532,Dominique
825193,409537,Dominique
825194,124446,""
825195,12527,""
825195,74144,""
825195,170277,""
825195,393028,""
825196,25024,""
825197,26544,""
825197,104488,""
825197,181779,""
825197,211012,""
825197,255798,""
825198,8479,""
825199,71290,Cop
825199,73703,Monica
825199,84324,Cecilia
825199,91769,Orbe
825199,119888,Girl #1
825199,121528,Heather
825199,132454,Annie
825199,134315,Screaming Woman
825199,168295,Complaint Handler
825199,171700,Maria
825199,319206,Shirley
825199,330019,Shirley
825199,342766,Coast Guardswoman
825199,388808,Rosa
825199,403419,""
825199,406529,Sophia (1996-1997)
825200,56357,Julia
825200,83507,Laura
825200,94851,Clàudia
825200,111995,Rosita
825200,126242,""
825200,156444,Isabel
825200,201347,Judith Altimir
825200,233260,Geltra
825200,248286,Irene
825200,302358,Claudia Horts de Gifford
825200,349071,Julie
825200,356153,Cata
825200,385243,Olga
825200,387869,""
825200,396544,Judith Altimir
825200,397847,Armanda
825200,399505,Eulàlia Montsolís
825200,402673,Núria Gratacós
825200,404715,Laura
825201,60918,""
825202,391927,""
825203,125478,""
825204,90057,""
825204,224963,""
825204,397969,Maya
825205,334661,Carmen
825206,43076,""
825206,54165,""
825206,58460,Tia Rosa (aunt)
825206,78577,The Farmer`s Wife
825206,169713,""
825206,193169,Mrs. Conceição
825206,219241,"Maria de Jesus Doroteia, Mada"
825206,344766,Manuela's mother
825207,187074,Sonya
825208,233765,La chica
825209,352855,""
825210,9770,Younger woman
825210,193169,""
825211,59983,Veronique
825211,148753,Pharmacienne
825211,173129,Horse Marine
825211,217680,""
825211,406028,La secrétaire de Beaujeu
825212,303208,Herself
825212,388055,Herself (1997)
825213,73483,Concierge
825214,197885,""
825215,351471,""
825216,387712,Pandora
825217,257636,Additional Cast
825218,302335,Perla
825219,222394,Delfina
825220,354461,""
825220,366449,Mrs. Blake
825221,375411,Mrs. Domanská
825222,337252,""
825222,349669,""
825223,140283,Elidie
825224,229821,""
825225,140283,Madeleine
825226,86826,"Chica hormonal (segment ""Cine"
825227,82728,Siamese Twin
825228,318006,""
825229,31456,Ayia
825230,132032,Azra
825230,266284,Alisa
825230,395028,Corrine
825231,39865,Laticia
825231,206291,Colette
825232,170213,Herself
825232,170215,Herself
825232,170220,Herself
825232,170221,Herself
825232,170222,Herself
825234,33527,Cashier (Red)
825235,104637,Herself (Backing vocal)
825235,104638,Herself (Backing vocal)
825235,104639,Herself
825236,385947,""
825237,55874,Vendulka
825237,65060,""
825237,84762,Marie
825237,95439,Jana
825237,99251,Girl on scooter #1
825237,112967,Herself
825237,159288,Marie
825237,166443,TV presenter
825237,179719,Herself
825237,213843,Jolana Tuslová
825237,221867,Renata Soukupová
825237,223487,Olga
825237,225816,""
825237,237198,Olga
825237,239475,""
825237,285087,""
825237,286736,Prostitute
825237,294570,Anna
825237,311581,""
825237,320539,""
825237,399141,Veronika Blazejová
825237,402133,Alena
825238,78487,Herself (performing 'En somme
825239,53157,""
825240,56581,""
825240,345275,Chloé
825240,353246,""
825240,385209,Joana Gaudêncio
825241,125418,Kristín
825242,107708,Dúa
825242,225084,Freyja
825242,277415,"Telma (Seagulls Laugther, The"
825243,870,Hófí
825243,311681,Ella
825244,392605,""
825245,81674,Vila 4
825245,343800,Nevena
825246,197612,""
825247,174779,""
825248,229544,Eva Palmén
825249,170247,lääkäri
825249,213417,Bar cook
825249,268169,Car shop accountant
825249,341608,Office employee
825250,100011,Tanhu-ryhmän jäsen
825251,261607,Lida
825252,198134,""
825252,299421,""
825252,309440,""
825252,357428,""
825252,357481,""
825253,276611,""
825254,169092,""
825255,262708,Herself - performer
825255,319302,Laulava trio
825256,160888,New Lady #1
825256,201320,Hostess
825257,169794,Spanish Woman 1
825257,268498,Periodista
825257,353197,Chana
825258,216737,Dancer
825259,55194,Artistas invitados
825259,86102,""
825259,91346,""
825259,162712,""
825259,199295,""
825259,204610,""
825259,222409,""
825259,236021,""
825259,277368,""
825259,356030,""
825260,78579,""
825261,96330,Juanita
825262,37725,Malou
825262,79913,""
825262,340355,""
825263,100496,Esposa muerta
825264,105609,Light/First female mime
825265,10051,Annetta
825266,355660,City Hall secretary
825267,276384,""
825268,395885,""
825269,6269,EMT #2
825270,115182,Kitsurubami
825271,2235,""
825271,8141,""
825271,13014,""
825271,14928,""
825271,19381,""
825271,52620,""
825271,57869,Elvira Marquez
825271,57907,Lupe la Borrada
825271,57978,""
825271,61341,""
825271,82245,""
825271,85590,""
825271,85920,""
825271,91271,""
825271,91362,""
825271,91410,""
825271,91420,""
825271,92338,Herself
825271,100780,""
825271,114321,""
825271,114322,""
825271,114323,""
825271,114324,""
825271,121394,""
825271,123184,""
825271,131131,""
825271,137433,""
825271,165162,""
825271,169754,""
825271,183948,Dona Lancha/Maria
825271,183949,Doña Lancha/Maria
825271,193550,Dona Rosario
825271,196757,Lucha Villa
825271,197160,La Japonesa
825271,205221,""
825271,209002,""
825271,209298,Isabel
825271,212496,""
825271,213721,""
825271,215239,""
825271,225550,""
825271,234426,""
825271,263069,""
825271,264265,""
825271,266881,""
825271,269470,Lucha; Maria de la Luz Ontive
825271,277408,""
825271,287005,""
825271,293571,""
825271,293924,""
825271,307802,""
825271,307809,""
825271,309085,""
825271,322239,""
825271,328531,""
825271,332596,""
825271,339155,""
825271,339176,""
825271,353609,""
825271,370624,""
825271,378413,Amalia
825271,399709,""
825272,18095,""
825272,29506,The Liar's Mother
825272,42127,The Ranch Owner's Wife
825272,46003,Mrs. Hoffman
825272,80548,John's Wife
825272,132344,Mrs. John Carter
825272,145015,The Wife
825272,161491,Mrs. Barker
825272,191612,""
825272,194026,""
825272,218828,""
825272,263527,Mrs. George Austen
825272,264833,""
825272,362743,Webster's Wife
825272,364449,Madge's Mother
825273,287245,""
825274,20753,""
825274,80279,""
825274,296335,""
825275,69220,""
825275,78579,""
825275,135243,""
825275,193415,""
825275,251310,""
825275,308747,""
825275,339985,""
825275,356029,""
825276,70990,""
825276,79133,""
825276,80139,Sra Zamildio
825276,84065,""
825276,103760,Susana
825276,233343,Madre de Josefina
825276,307028,""
825276,322853,""
825276,384119,Martirio (1998)
825276,384930,""
825276,385402,Olga Zamudio
825276,391639,""
825276,394017,Mother Juana
825276,398842,""
825276,399578,""
825277,197172,""
825278,9472,""
825278,17875,""
825278,54431,""
825278,76580,""
825278,95766,""
825278,117727,""
825278,148208,Azon
825278,148209,Azon
825278,162644,""
825278,179445,""
825278,200006,""
825278,200298,""
825278,207125,""
825278,212689,Cindy
825278,391866,Azon
825278,391867,Azon
825279,243257,Sister Marie
825280,405526,Dona Elvira
825281,22653,""
825281,74631,""
825281,86904,""
825281,155196,""
825282,44216,Girl
825282,202550,Conceição
825282,385398,Natália
825282,389544,Dora
825282,390489,""
825282,402457,""
825283,165709,Sabina
825284,91423,""
825285,28006,""
825286,37452,Web Girl
825287,143702,""
825287,154542,Herself
825287,264249,Herself
825287,383147,Colaboradora
825287,384830,Colaboradora (2003-2004)
825287,387177,Tertuliana (1996-1997)
825287,388083,Host
825287,390518,""
825287,397208,Host
825287,400932,""
825287,404076,Colaboradora (1999-2004)
825288,351680,Laura's Mother
825289,281650,Señora turbante
825290,378951,Anna
825291,12123,""
825291,25558,""
825291,52971,Woman
825291,74529,""
825291,87077,""
825291,104013,""
825291,135052,""
825291,193171,""
825291,222033,""
825291,293053,""
825291,306708,""
825291,353552,""
825291,377176,""
825292,325618,Sita Mauritz
825293,10499,""
825293,228776,""
825294,391710,Silke
825295,12527,""
825295,103487,""
825295,132709,""
825295,205713,""
825295,283137,The mother
825295,337869,""
825296,55011,""
825297,10484,""
825297,34555,""
825297,106311,""
825297,123153,""
825297,135119,""
825297,146453,""
825297,146533,Ana
825297,212666,Abuela de Micaela
825297,234042,""
825297,236751,Carolina
825297,309373,""
825297,332565,""
825297,353670,Sofía Uranga
825297,379900,""
825297,388097,Micaela
825297,405812,Andrea Estevez/Andrea Estévez
825298,3432,""
825298,57422,Araceli
825298,70115,""
825298,83868,""
825298,193185,Frida
825298,222412,Pilar
825298,236864,""
825298,263861,Fanny
825298,264402,""
825298,379457,Elba
825298,379602,Laura
825298,379888,Felisa
825298,381720,Liliana
825298,384864,Krista
825298,387574,Marcia
825298,392653,Mayra Salgado
825298,397019,""
825298,398801,Silvia
825298,403786,""
825298,409719,Olivia (#2)
825299,184469,Woman on Bench
825300,334410,Vollyball Player
825301,236458,Convenience Store Employee 2
825302,274524,""
825303,29760,Teresa
825304,70090,Mujer asaltada #1
825305,25024,""
825306,53119,Remedios
825306,54863,""
825306,61867,""
825306,68061,""
825306,68557,Mujer II
825306,80322,""
825306,145262,""
825306,148583,""
825306,253382,Paula
825306,318008,Señora
825307,212506,Novia
825308,258854,L'Employée de mairie
825309,285754,""
825310,17490,Woman #2/Woman with Bird
825311,36652,""
825311,111635,""
825311,160587,""
825311,328726,Dona Lucero
825311,371686,""
825312,206745,""
825313,210377,""
825314,402330,Himself
825315,116596,Compañera Buceo
